LYLTY_CARD_NBR,stores,purchases,products,mean_of_products,mean_of_sales,min_of_size,max_of_size,brands,lifestage,min_of_days_difference,max_of_days_difference,type_of_customer,Cluster_KMeans
1000,1,1,1,2.0,6.0,175,175,1,1,256.0,256.0,1.0,4
1002,1,1,1,1.0,2.7,150,150,1,1,287.0,287.0,3.0,1
1003,1,2,2,1.0,3.3,175,210,2,2,114.0,115.0,2.0,4
1004,1,1,1,1.0,1.9,160,160,1,5,240.0,240.0,3.0,2
1005,1,1,1,1.0,2.8,165,165,1,4,184.0,184.0,3.0,2
1007,1,2,2,1.0,3.25,110,150,2,1,207.0,208.0,2.0,4
1009,1,1,1,1.0,5.7,330,330,1,3,222.0,222.0,1.0,4
1010,1,2,2,1.5,6.95,170,300,2,1,198.0,294.0,3.0,1
1011,1,4,4,1.25,4.5,110,300,4,5,193.0,336.0,3.0,0
1012,1,2,2,1.0,5.15,150,330,2,6,11.0,107.0,3.0,0
1013,1,2,2,1.5,4.05,150,175,2,7,115.0,118.0,2.0,2
1016,1,2,2,1.0,4.300000000000001,135,175,2,6,21.0,72.0,3.0,2
1018,1,3,3,1.0,3.3333333333333335,70,165,3,1,10.0,300.0,3.0,1
1019,1,1,1,1.0,3.1,180,180,1,5,154.0,154.0,1.0,3
1020,1,3,3,1.0,3.8000000000000003,150,330,2,1,59.0,318.0,3.0,1
1022,1,1,1,1.0,4.6,150,150,1,6,249.0,249.0,2.0,2
1023,1,1,1,1.0,3.0,165,165,1,4,34.0,34.0,1.0,3
1024,1,1,1,1.0,3.0,175,175,1,1,130.0,130.0,1.0,4
1025,1,1,1,2.0,6.0,175,175,1,2,221.0,221.0,2.0,4
1026,1,1,1,1.0,2.1,175,175,1,4,204.0,204.0,1.0,3
1027,1,2,2,1.0,4.05,70,330,2,6,321.0,359.0,1.0,3
1028,1,1,1,1.0,2.7,150,150,1,1,25.0,25.0,2.0,4
1030,1,1,1,2.0,5.4,150,150,1,7,7.0,7.0,3.0,2
1034,1,2,2,1.0,3.4,110,175,2,7,93.0,98.0,1.0,3
1038,1,1,1,2.0,6.0,165,165,1,6,205.0,205.0,3.0,2
1039,1,1,1,1.0,3.0,175,175,1,2,243.0,243.0,3.0,1
1042,1,4,4,1.0,2.825,135,220,4,1,68.0,344.0,1.0,4
1043,1,1,1,1.0,3.3,175,175,1,2,134.0,134.0,2.0,4
1044,1,1,1,1.0,3.0,175,175,1,2,0.0,0.0,3.0,1
1046,1,1,1,1.0,4.2,165,165,1,1,137.0,137.0,2.0,4
1048,1,3,3,1.3333333333333333,4.033333333333334,70,170,3,6,157.0,332.0,3.0,2
1050,1,1,1,1.0,3.0,175,175,1,2,78.0,78.0,2.0,4
1051,1,1,1,2.0,5.8,170,170,1,1,278.0,278.0,2.0,4
1052,1,1,1,1.0,3.3,175,175,1,4,298.0,298.0,2.0,2
1053,1,2,2,1.0,4.5,150,170,2,4,72.0,327.0,3.0,1
1054,1,2,2,1.0,3.75,150,170,2,3,145.0,218.0,3.0,1
1055,1,1,1,1.0,2.6,150,150,1,7,357.0,357.0,3.0,2
1056,1,1,1,1.0,3.9,150,150,1,4,30.0,30.0,3.0,2
1057,1,3,3,1.0,5.3999999999999995,175,330,3,4,126.0,359.0,3.0,0
1060,1,3,3,1.3333333333333333,5.8,165,270,3,1,55.0,272.0,3.0,1
1061,1,1,1,1.0,3.3,175,175,1,5,66.0,66.0,2.0,2
1062,1,2,2,1.0,2.2,150,175,2,2,140.0,219.0,1.0,4
1064,1,2,2,1.0,3.2,110,150,2,2,128.0,144.0,2.0,4
1065,1,3,3,1.0,2.733333333333333,70,180,3,4,17.0,292.0,1.0,3
1067,1,1,1,1.0,1.7,90,90,1,5,246.0,246.0,3.0,2
1068,1,2,2,1.0,2.3,90,170,2,1,171.0,344.0,1.0,4
1071,1,2,2,1.0,3.5999999999999996,150,300,2,2,43.0,162.0,3.0,1
1072,1,2,2,1.5,3.75,90,170,2,3,87.0,338.0,1.0,4
